case,gurobi_cmax,gurobi_runtime_sec,gurobi_gap
STACK-S1,107.0,14.645632583880797,0.009903221358520332
STACK-S2,163.0,15.776094374945387,0.0
STACK-S3,238.9999999759903,23.92646741704084,0.00020098633156735664
STACK-S4,258.0,50.33268366684206,0.0
STACK-S5,269.0,62.04548866604455,0.009607510181029053
STACK-S6,386.0,76.16461287508719,0.00674711041152711
STACK-S7,525.9999882108403,220.02730316692032,0.011503541328216326
STACK-S8,658.0,220.20615729200654,0.006949952441295049
STACK-S9,780.9999150997693,260.1138920420781,0.011631002273458233
