scale,run_id,seed,iter,focus,z,best_z,lb,improved,skipped,epsilon
SMALL,0,42,0,init,758.0,758.0,,True,False,0.05
SMALL,0,42,1,sp3,758.0,758.0,675.0,False,False,0.05
