iter,layer,candidate_rank,candidate_stage,destroy_operator,repair_operator,fallback_used,projection_mode,projection_repaired_subtask_count,F_raw,F_cal,duplicate_tote_count,duplicate_tote_penalty,candidate_signature,selected_for_sa
1,Z,3,rough,z_destroy_multistack_window,z_repair_sort_range_shrink_first,False,,0,3143.809700328407,3143.809700328407,0,0.0,"('Z', 'z_destroy_multistack_window', ((2, (4, 5)),), 'z_repair_sort_range_shrink_first', (2493, 3206), ('SORT',))",False
1,Z,2,rough,z_destroy_mode_window,z_repair_sort_range_shrink_first,False,,0,3143.809700328407,3143.809700328407,0,0.0,"('Z', 'z_destroy_mode_window', ((3, (13, 14)),), 'z_repair_sort_range_shrink_first', (2052, 2493), ('SORT',))",False
1,Z,1,rough,z_destroy_mode_window,z_repair_same_stack_window,False,,0,3143.809700328407,3143.809700328407,0,0.0,"('Z', 'z_destroy_mode_window', ((3, (13, 14)),), 'z_repair_same_stack_window', (2052, 2493), ('SORT',))",False
2,Z,1,rough,z_destroy_detour_window,z_repair_bounded_detour_window,False,,0,3088.819700328407,3088.819700328407,0,0.0,"('Z', 'z_destroy_detour_window', ((0, (16,)), (1, (0, 1))), 'z_repair_bounded_detour_window', (2047, 1956, 2899, 2914), ('FLIP', 'FLIP'))",False
2,Z,3,rough,z_destroy_multistack_window,z_repair_bounded_detour_window,False,,0,3143.809700328407,3143.809700328407,0,0.0,"('Z', 'z_destroy_multistack_window', ((3, (13, 14)),), 'z_repair_bounded_detour_window', (2052, 2493), ('SORT',))",False
2,Z,2,rough,z_destroy_multistack_window,z_repair_same_stack_window,False,,0,3119.369700328408,3119.369700328408,0,0.0,"('Z', 'z_destroy_multistack_window', ((1, (0, 1)),), 'z_repair_same_stack_window', (2899, 2914), ('FLIP',))",False
3,Z,1,rough,z_destroy_detour_window,z_repair_same_stack_window,False,,0,3088.819700328407,3088.819700328407,0,0.0,"('Z', 'z_destroy_detour_window', ((0, (16,)), (1, (0, 1))), 'z_repair_same_stack_window', (2047, 1956, 2899, 2914), ('FLIP', 'FLIP'))",False
3,Z,2,rough,z_destroy_mode_window,z_repair_bounded_detour_window,False,,0,3143.809700328407,3143.809700328407,0,0.0,"('Z', 'z_destroy_mode_window', ((3, (13, 14)),), 'z_repair_bounded_detour_window', (2052, 2493), ('SORT',))",False
3,Z,3,rough,z_destroy_noise_window,z_repair_mode_toggle_contextual,False,,0,3215.0930336617407,3215.0930336617407,0,0.0,"('Z', 'z_destroy_noise_window', ((6, (2, 3)),), 'z_repair_mode_toggle_contextual', (1956, 2865), ('SORT',))",False
4,Z,1,rough,z_destroy_detour_window,z_repair_mode_toggle_contextual,False,,0,3088.819700328407,3088.819700328407,0,0.0,"('Z', 'z_destroy_detour_window', ((0, (16,)), (1, (0, 1))), 'z_repair_mode_toggle_contextual', (2047, 1956, 2899, 2914), ('FLIP', 'FLIP'))",False
4,Z,2,rough,z_destroy_noise_window,z_repair_same_stack_window,False,,0,3234.904245782953,3234.904245782953,0,0.0,"('Z', 'z_destroy_noise_window', ((5, (7, 8)), (8, (15,))), 'z_repair_same_stack_window', (2865, 1956, 774, 1736), ('SORT', 'SORT'))",False
4,Z,3,rough,z_destroy_noise_window,z_repair_mode_toggle_contextual,False,,0,3311.8347003284075,3311.8347003284075,0,0.0,"('Z', 'z_destroy_noise_window', ((0, (16,)), (8, (15,))), 'z_repair_mode_toggle_contextual', (2865, 1956, 2047), ('SORT', 'FLIP'))",False
5,Z,1,rough,z_destroy_detour_window,z_repair_same_stack_window,False,,0,3119.369700328408,3119.369700328408,0,0.0,"('Z', 'z_destroy_detour_window', ((1, (0, 1)),), 'z_repair_same_stack_window', (2899, 2914), ('FLIP',))",False
5,Z,3,rough,z_destroy_multistack_window,z_repair_sort_range_shrink_first,False,,0,3143.809700328407,3143.809700328407,0,0.0,"('Z', 'z_destroy_multistack_window', ((1, (0, 1)),), 'z_repair_sort_range_shrink_first', (2899, 2914), ('SORT',))",False
5,Z,2,rough,z_destroy_detour_window,z_repair_sort_range_shrink_first,False,,0,3143.809700328407,3143.809700328407,0,0.0,"('Z', 'z_destroy_detour_window', ((1, (0, 1)),), 'z_repair_sort_range_shrink_first', (2899, 2914), ('SORT',))",False
6,Z,1,rough,z_destroy_mode_window,z_repair_mode_toggle_contextual,False,,0,3197.2722003284075,3197.2722003284075,0,0.0,"('Z', 'z_destroy_mode_window', ((5, (7, 8)),), 'z_repair_mode_toggle_contextual', (774, 1736), ('SORT',))",False
6,Z,2,rough,z_destroy_noise_window,z_repair_bounded_detour_window,False,,0,3215.0930336617407,3215.0930336617407,0,0.0,"('Z', 'z_destroy_noise_window', ((6, (2, 3)),), 'z_repair_bounded_detour_window', (1956, 2865), ('SORT',))",False
6,Z,3,rough,z_destroy_noise_window,z_repair_bounded_detour_window,False,,0,3266.9497003284073,3266.9497003284073,0,0.0,"('Z', 'z_destroy_noise_window', ((6, (2, 3)), (8, (15,))), 'z_repair_bounded_detour_window', (2865, 1956), ('SORT', 'SORT'))",False
7,Z,3,rough,z_destroy_noise_window,z_repair_sort_range_shrink_first,False,,0,3197.2722003284075,3197.2722003284075,0,0.0,"('Z', 'z_destroy_noise_window', ((5, (7, 8)),), 'z_repair_sort_range_shrink_first', (774, 1736), ('SORT',))",False
7,Z,2,rough,z_destroy_mode_window,z_repair_mode_toggle_contextual,False,,0,3143.809700328407,3143.809700328407,0,0.0,"('Z', 'z_destroy_mode_window', ((3, (13, 14)),), 'z_repair_mode_toggle_contextual', (2052, 2493), ('SORT',))",False
7,Z,1,rough,z_destroy_detour_window,z_repair_sort_range_shrink_first,False,,0,3137.6997003284073,3137.6997003284073,0,0.0,"('Z', 'z_destroy_detour_window', ((0, (16,)), (2, (4, 5))), 'z_repair_sort_range_shrink_first', (2047, 1956, 2493, 3206), ('SORT', 'SORT'))",False
