=== Resource-Time ALNS Summary ===
scale=GUROBI-S7, seed=42
total_runtime_sec=23.984774
best_z=233.000s @ iter=25

stop_reason=validated_best_no_change_50

exact_eval_cache_hit_count=46
empty_candidate_penalized_count=0

coverage_hard_reject_count=29
kitting_span_hard_reject_count=0
x_failure_decapitation_count=1

iter | focus |          z |       best |        F_raw |        F_cal |   tier | gval | emp | cd | cache | imp | skip |         lb
  34 |    Y |    395.000 |    233.000 |     3028.896 |     3028.904 |   base |    Y |   N |  0 |     N |   N |    N |    -   
  35 |    Z |    233.000 |    233.000 |     3028.896 |     3028.904 |   base |    N |   N |  0 |     N |   N |    N |    -   
  36 |    X |    413.000 |    233.000 |     2838.169 |     2838.173 |   base |    Y |   N |  0 |     N |   N |    N |    -   
  37 |    Y |    233.000 |    233.000 |     2875.963 |     2875.963 |   base |    N |   N |  0 |     N |   N |    N |    -   
  38 |    Z |    233.000 |    233.000 |     2992.250 |     2992.246 |   base |    N |   N |  0 |     N |   N |    N |    -   
  39 |    X |    413.000 |    233.000 |     2829.052 |     2829.048 |   base |    Y |   N |  0 |     Y |   N |    N |    -   
  40 |    Y |    233.000 |    233.000 |     2898.086 |     2898.086 |   base |    N |   N |  0 |     N |   N |    N |    -   
  41 |    Z |    233.000 |    233.000 |     2829.052 |     2829.048 |   base |    N |   N |  0 |     N |   N |    N |    -   
  42 |    X |    413.000 |    233.000 |     2829.052 |     2829.045 |   base |    Y |   N |  0 |     Y |   N |    N |    -   
  43 |    Y |    596.000 |    233.000 |     2781.264 |     2781.255 |   base |    Y |   N |  0 |     N |   N |    N |    -   
  44 |    Z |    233.000 |    233.000 |     2781.264 |     2781.255 |   base |    N |   N |  0 |     N |   N |    N |    -   
  45 |    X |    596.000 |    233.000 |     2781.264 |     2781.245 |   base |    Y |   N |  0 |     Y |   N |    N |    -   
  46 |    Y |    340.000 |    233.000 |     2761.897 |     2761.887 |   base |    Y |   N |  0 |     N |   N |    N |    -   
  47 |    Z |    233.000 |    233.000 |     2761.897 |     2761.887 |   base |    N |   N |  0 |     N |   N |    N |    -   
  48 |    X |    340.000 |    233.000 |     2761.897 |     2761.879 |   base |    Y |   N |  0 |     Y |   N |    N |    -   
  49 |    Y |    331.000 |    233.000 |     2761.897 |     2761.887 |   base |    Y |   N |  0 |     N |   N |    N |    -   
  50 |    Z |    233.000 |    233.000 |     2761.897 |     2761.887 |   base |    N |   N |  0 |     N |   N |    N |    -   
  51 |    X |    331.000 |    233.000 |     2680.030 |     2680.014 |   base |    Y |   N |  0 |     N |   N |    N |    -   
  52 |    Y |    233.000 |    233.000 |     2702.056 |     2702.044 |   base |    N |   N |  0 |     N |   N |    N |    -   
  53 |    Z |    331.000 |    233.000 |     2680.222 |     2680.199 |   base |    Y |   N |  0 |     Y |   N |    N |    -   
  54 |    X |    331.000 |    233.000 |     2680.222 |     2680.200 |   base |    Y |   N |  0 |     N |   N |    N |    -   
  55 |    Y |    233.000 |    233.000 |     2702.056 |     2702.043 |   base |    N |   N |  0 |     N |   N |    N |    -   
  56 |    Z |    233.000 |    233.000 |     2680.222 |     2680.200 |   base |    N |   N |  0 |     N |   N |    N |    -   
  57 |    X |    233.000 |    233.000 |     2686.332 |     2686.325 |   base |    N |   N |  0 |     N |   N |    N |    -   
  58 |    Y |    331.000 |    233.000 |     2680.222 |     2680.207 |   base |    Y |   N |  0 |     Y |   N |    N |    -   
  59 |    Z |    233.000 |    233.000 |     2680.222 |     2680.207 |   base |    N |   N |  0 |     N |   N |    N |    -   
  60 |    X |    331.000 |    233.000 |     2680.222 |     2680.197 |   base |    Y |   N |  0 |     Y |   N |    N |    -   
  61 |    Y |    331.000 |    233.000 |     2680.222 |     2680.190 |   base |    Y |   N |  0 |     Y |   N |    N |    -   
  62 |    Z |    233.000 |    233.000 |     2680.222 |     2680.190 |   base |    N |   N |  0 |     N |   N |    N |    -   
  63 |    X |    233.000 |    233.000 |     2686.332 |     2686.324 |   base |    N |   N |  0 |     Y |   N |    N |    -   
  64 |    Y |    233.000 |    233.000 |     2702.056 |     2702.048 |   base |    N |   N |  0 |     Y |   N |    N |    -   
  65 |    Z |    233.000 |    233.000 |     2680.222 |     2680.190 |   base |    N |   N |  0 |     N |   N |    N |    -   
  66 |    X |    233.000 |    233.000 |     2680.222 |     2680.190 |   base |    N |   N |  0 |     N |   N |    N |    -   
  67 |    Y |    233.000 |    233.000 |     2702.056 |     2702.052 |   base |    N |   N |  0 |     Y |   N |    N |    -   
  68 |    Z |    233.000 |    233.000 |     2680.222 |     2680.190 |   base |    N |   N |  0 |     N |   N |    N |    -   
  69 |    X |    233.000 |    233.000 |     2680.222 |     2680.190 |   base |    N |   N |  0 |     N |   N |    N |    -   
  70 |    Y |    233.000 |    233.000 |     2702.056 |     2702.056 |   base |    N |   N |  0 |     Y |   N |    N |    -   
  71 |    Z |    233.000 |    233.000 |     2680.222 |     2680.190 |   base |    N |   N |  0 |     N |   N |    N |    -   
  72 |    Y |    233.000 |    233.000 |     2680.222 |     2680.222 |   base |    N |   N |  0 |     Y |   N |    N |    -   
  73 |    Z |    233.000 |    233.000 |     2680.222 |     2680.222 |   base |    N |   N |  0 |     N |   N |    N |    -   
  74 |    Y |    233.000 |    233.000 |     2699.524 |     2699.521 |   base |    N |   N |  0 |     N |   N |    N |    -   
  75 |    Z |    233.000 |    233.000 |     2680.222 |     2680.222 |   base |    N |   N |  0 |     N |   N |    N |    -   
