=== Resource-Time ALNS Summary ===
scale=GUROBI-S7, seed=42
total_runtime_sec=23.984774
best_z=233.000s @ iter=25

stop_reason=validated_best_no_change_50

exact_eval_cache_hit_count=46
empty_candidate_penalized_count=0

coverage_hard_reject_count=29
kitting_span_hard_reject_count=0
x_failure_decapitation_count=1

iter | focus |          z |       best |        F_raw |        F_cal |   tier | gval | emp | cd | cache | imp | skip |         lb
----------------------------------------------------------------------------------------------------------------------------------------------------
   0 | init |    611.000 |    611.000 |      -      |      -      |        |    N |   N |  0 |     N |   Y |    N |    -   
   1 |    Z |    262.000 |    262.000 |     3149.920 |     3149.920 |   base |    N |   N |  0 |     N |   N |    N |    -   
   2 |    Z |    262.000 |    262.000 |     3149.920 |     3149.920 |   base |    N |   N |  0 |     N |   N |    N |    -   
   3 |    Z |    262.000 |    262.000 |     3149.920 |     3149.920 |   base |    N |   N |  0 |     N |   N |    N |    -   
   4 |    Z |    262.000 |    262.000 |     3149.920 |     3149.920 |   base |    N |   N |  0 |     N |   N |    N |    -   
   5 |    Z |    262.000 |    262.000 |     3149.920 |     3149.920 |   base |    N |   N |  0 |     N |   N |    N |    -   
   6 |    Z |    262.000 |    262.000 |     3149.920 |     3149.920 |   base |    N |   N |  0 |     N |   N |    N |    -   
   7 |    Z |    262.000 |    262.000 |     3149.920 |     3149.920 |   base |    N |   N |  0 |     N |   N |    N |    -   
   8 |    Z |    262.000 |    262.000 |     3149.920 |     3149.920 |   base |    N |   N |  0 |     N |   N |    N |    -   
   9 |    Z |    262.000 |    262.000 |     3149.920 |     3149.920 |   base |    N |   N |  0 |     N |   N |    N |    -   
  10 |    Z |    262.000 |    262.000 |     3149.920 |     3149.920 |   base |    N |   N |  0 |     N |   N |    N |    -   
  11 |    Z |    262.000 |    262.000 |     3149.920 |     3149.920 |   base |    N |   N |  0 |     N |   N |    N |    -   
  12 |    Z |    262.000 |    262.000 |     3149.920 |     3149.920 |   base |    N |   N |  0 |     N |   N |    N |    -   
  13 |    Z |    262.000 |    262.000 |     3149.920 |     3149.920 |   base |    N |   N |  0 |     N |   N |    N |    -   
  14 |    Z |    262.000 |    262.000 |     3149.920 |     3149.920 |   base |    N |   N |  0 |     N |   N |    N |    -   
  15 |    Z |    262.000 |    262.000 |     3149.920 |     3149.920 |   base |    N |   N |  0 |     N |   N |    N |    -   
  16 |    Z |    262.000 |    262.000 |     3149.920 |     3149.920 |   base |    N |   N |  0 |     N |   N |    N |    -   
  17 |    Z |    262.000 |    262.000 |     3149.920 |     3149.920 |   base |    N |   N |  0 |     N |   N |    N |    -   
  18 |    Z |    262.000 |    262.000 |     3149.920 |     3149.920 |   base |    N |   N |  0 |     N |   N |    N |    -   
  19 |    Z |    262.000 |    262.000 |     3149.920 |     3149.920 |   base |    N |   N |  0 |     N |   N |    N |    -   
  20 |    Z |    262.000 |    262.000 |     3149.920 |     3149.920 |   base |    N |   N |  0 |     N |   N |    N |    -   
  21 |    X |    262.000 |    262.000 |     3149.920 |     3149.920 |   base |    N |   N |  0 |     Y |   N |    N |    -   
  22 |    Y |    262.000 |    262.000 |     3216.731 |     3216.731 |   base |    N |   N |  0 |     N |   N |    N |    -   
  23 |    Z |    262.000 |    262.000 |     3149.920 |     3149.920 |   base |    N |   N |  0 |     N |   N |    N |    -   
  24 |    X |    262.000 |    262.000 |     3149.920 |     3149.920 |   base |    Y |   N |  0 |     Y |   N |    N |    -   
  25 |    Y |    233.000 |    233.000 |     3154.590 |     3154.590 |   base |    Y |   N |  0 |     N |   Y |    N |    -   
  26 |    Z |    233.000 |    233.000 |     3154.590 |     3154.590 |   base |    N |   N |  0 |     N |   N |    N |    -   
  27 |    X |    233.000 |    233.000 |     3154.590 |     3154.587 |   base |    Y |   N |  0 |     Y |   N |    N |    -   
  28 |    Y |   4778.000 |    233.000 |     3138.922 |     3138.926 |   base |    Y |   N |  0 |     N |   N |    N |    -   
  29 |    Z |    233.000 |    233.000 |     3154.590 |     3154.583 |   base |    N |   N |  0 |     N |   N |    N |    -   
  30 |    X |    233.000 |    233.000 |     3154.590 |     3154.586 |   base |    Y |   N |  0 |     Y |   N |    N |    -   
  31 |    Y |   3512.000 |    233.000 |     3110.212 |     3110.215 |   base |    Y |   N |  0 |     N |   N |    N |    -   
  32 |    Z |    233.000 |    233.000 |     3154.590 |     3154.582 |   base |    N |   N |  0 |     N |   N |    N |    -   
  33 |    X |    233.000 |    233.000 |     3154.590 |     3154.582 |   base |    N |   N |  0 |     N |   N |    N |    -   
