iter,focus,selected_resource_layer,destroy_operator,repair_operator,fallback_repair_used,projection_mode,projection_repaired_subtask_count,effective_destroy_mu,effective_destroy_budget,destroy_tier,heavy_destroy_active,force_rotate_used,x_temp_boost_used,local_obj,Sx,Sy,Sz,F_raw,F_cal,residual_hat,residual_decay_alpha,residual_conf_alpha,duplicate_tote_count,duplicate_tote_penalty,coverage_hard_reject,unmet_sku_total,candidate_hard_reject_reason,candidate_pool_target_size,candidate_pool_generated_count,candidate_pool_unique_count,candidate_pool_attempt_count,candidate_pool_exact_count,candidate_pool_best_f_raw,candidate_pool_best_f_cal,selected_candidate_rank,joint_colocated_sort_postprocess_triggered,joint_colocated_sort_postprocess_candidate_groups,joint_colocated_sort_postprocess_submitted,joint_colocated_sort_postprocess_applied,joint_colocated_sort_postprocess_makespan_gain,joint_colocated_sort_postprocess_rejected_capacity,joint_colocated_sort_postprocess_rejected_interval_illegal,joint_colocated_sort_postprocess_rejected_noise,joint_colocated_sort_postprocess_rejected_eval_not_better,joint_colocated_sort_postprocess_rejected_validation,joint_colocated_sort_postprocess_rejected_target_conflict,empty_candidate_penalized,layer_cooldown_remaining,stagnation_increment,used_exact_eval_cache,exact_eval_cache_hit_count,consecutive_exact_cache_hit_count,adaptive_destroy_bonus,consecutive_fail_count_x,x_layer_dynamic_multiplier,x_failure_cooldown_remaining,local_accept,global_eval_triggered,validation_trigger,validated_makespan,catastrophic_rollback,z,best_z,improved,sa_temperature,sa_accept_prob,iter_runtime_sec,global_eval_time_sec,lkh_call_count
0,init,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,233.0,233.0,True,,,,,
1,Z,Z,,,False,,0,0.1,2,base,False,False,False,871.4804861111112,0.2366666666666667,0.21025959704339534,2.2933333333333334,871.4804861111112,871.4804861111112,0.0,0.0,0.0,0,0.0,False,0,exact_candidate_fail,3,3,0,3,0,nan,nan,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,1.0,False,0,0,0.0,0,1.0,0,False,False,,nan,False,233.0,233.0,False,20.0,0.0,0.02984939999987546,0.0,0
2,Z,Z,,,False,,0,0.1,2,base,False,False,False,871.4804861111112,0.2366666666666667,0.21025959704339534,2.2933333333333334,871.4804861111112,871.4804861111112,0.0,0.0,0.0,0,0.0,False,0,exact_candidate_fail,3,3,0,3,0,nan,nan,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,1.0,False,0,0,0.0,0,1.0,0,False,False,,nan,False,233.0,233.0,False,19.0,0.0,0.015026799999759533,0.0,0
3,Z,Z,,,False,,0,0.1,2,base,False,False,False,871.4804861111112,0.2366666666666667,0.21025959704339534,2.2933333333333334,871.4804861111112,871.4804861111112,0.0,0.0,0.0,0,0.0,False,0,exact_candidate_fail,3,3,0,4,0,nan,nan,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,1.0,False,0,0,0.0,0,1.0,0,False,False,,nan,False,233.0,233.0,False,18.05,0.0,0.018319400000109454,0.0,0
4,Z,Z,,,False,,0,0.1,2,base,False,False,False,871.4804861111112,0.2366666666666667,0.21025959704339534,2.2933333333333334,871.4804861111112,871.4804861111112,0.0,0.0,0.0,0,0.0,False,0,exact_candidate_fail,3,3,0,3,0,nan,nan,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,1.0,False,0,0,0.0,0,1.0,0,False,False,,nan,False,233.0,233.0,False,17.1475,0.0,0.009357799999634153,0.0,0
5,Z,Z,,,False,,0,0.1,2,base,False,False,False,871.4804861111112,0.2366666666666667,0.21025959704339534,2.2933333333333334,871.4804861111112,871.4804861111112,0.0,0.0,0.0,0,0.0,False,0,exact_candidate_fail,3,3,0,3,0,nan,nan,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,1.0,False,0,0,0.0,0,1.0,0,False,False,,nan,False,233.0,233.0,False,16.290125,0.0,0.011172100001203944,0.0,0
6,Z,Z,,,False,,0,0.1,2,base,False,False,False,871.4804861111112,0.2366666666666667,0.21025959704339534,2.2933333333333334,871.4804861111112,871.4804861111112,0.0,0.0,0.0,0,0.0,False,0,exact_candidate_fail,3,3,0,5,0,nan,nan,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,1.0,False,0,0,0.0,0,1.0,0,False,False,,nan,False,233.0,233.0,False,15.475618749999999,0.0,0.014405399999304791,0.0,0
7,Z,Z,,,False,,0,0.1,2,base,False,False,False,871.4804861111112,0.2366666666666667,0.21025959704339534,2.2933333333333334,871.4804861111112,871.4804861111112,0.0,0.0,0.0,0,0.0,False,0,exact_candidate_fail,3,3,0,7,0,nan,nan,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,1.0,False,0,0,0.0,0,1.0,0,False,False,,nan,False,233.0,233.0,False,14.701837812499999,0.0,0.013455700000122306,0.0,0
8,Z,Z,,,False,,0,0.1,2,base,False,False,False,871.4804861111112,0.2366666666666667,0.21025959704339534,2.2933333333333334,871.4804861111112,871.4804861111112,0.0,0.0,0.0,0,0.0,False,0,exact_candidate_fail,3,3,0,8,0,nan,nan,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,1.0,False,0,0,0.0,0,1.0,0,False,False,,nan,False,233.0,233.0,False,13.966745921874999,0.0,0.019859800000631367,0.0,0
9,Z,Z,,,False,,0,0.1,2,base,False,False,False,871.4804861111112,0.2366666666666667,0.21025959704339534,2.2933333333333334,871.4804861111112,871.4804861111112,0.0,0.0,0.0,0,0.0,False,0,exact_candidate_fail,3,3,0,5,0,nan,nan,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,1.0,False,0,0,0.0,0,1.0,0,False,False,,nan,False,233.0,233.0,False,13.268408625781248,0.0,0.012869899999714107,0.0,0
10,Z,Z,,,False,,0,0.1,2,base,False,False,False,871.4804861111112,0.2366666666666667,0.21025959704339534,2.2933333333333334,871.4804861111112,871.4804861111112,0.0,0.0,0.0,0,0.0,False,0,exact_candidate_fail,3,2,0,12,0,nan,nan,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,1.0,False,0,0,0.0,0,1.0,0,False,False,,nan,False,233.0,233.0,False,12.604988194492185,0.0,0.013992700000017066,0.0,0
