iter,layer,candidate_rank,candidate_stage,destroy_operator,repair_operator,fallback_used,projection_mode,projection_repaired_subtask_count,F_raw,F_cal,duplicate_tote_count,duplicate_tote_penalty,candidate_signature,selected_for_sa
1,Z,1,rough,z_destroy_multistack_window,z_repair_sort_range_shrink_first,False,,0,869.1504861111113,869.1504861111113,0,0.0,"('Z', 'z_destroy_multistack_window', ((0, (5, 6)),), 'z_repair_sort_range_shrink_first', (1547, 941), ('SORT',))",False
1,Z,3,rough,z_destroy_mode_window,z_repair_sort_range_shrink_first,False,,0,901.7704861111112,901.7704861111112,0,0.0,"('Z', 'z_destroy_mode_window', ((1, (8, 9)),), 'z_repair_sort_range_shrink_first', (1547, 1457), ('SORT',))",False
1,Z,2,rough,z_destroy_mode_window,z_repair_same_stack_window,False,,0,901.7704861111112,901.7704861111112,0,0.0,"('Z', 'z_destroy_mode_window', ((1, (8, 9)),), 'z_repair_same_stack_window', (1547, 1457), ('SORT',))",False
2,Z,2,rough,z_destroy_detour_window,z_repair_bounded_detour_window,False,,0,859.8304861111112,859.8304861111112,0,0.0,"('Z', 'z_destroy_detour_window', ((0, (5, 6)),), 'z_repair_bounded_detour_window', (1547, 941), ('FLIP',))",False
2,Z,3,rough,z_destroy_multistack_window,z_repair_mode_toggle_contextual,False,,0,859.8304861111112,859.8304861111112,0,0.0,"('Z', 'z_destroy_multistack_window', ((0, (5, 6)),), 'z_repair_mode_toggle_contextual', (1547, 941), ('FLIP',))",False
2,Z,1,rough,z_destroy_multistack_window,z_repair_bounded_detour_window,False,,0,801.5804861111111,801.5804861111111,0,0.0,"('Z', 'z_destroy_multistack_window', ((5, (0, 1, 2)),), 'z_repair_bounded_detour_window', (1916, 938), ('FLIP',))",False
3,Z,3,rough,z_destroy_noise_window,z_repair_same_stack_window,False,,0,901.7704861111112,901.7704861111112,0,0.0,"('Z', 'z_destroy_noise_window', ((1, (8, 9)),), 'z_repair_same_stack_window', (1547, 1457), ('SORT',))",False
3,Z,2,rough,z_destroy_mode_window,z_repair_bounded_detour_window,False,,0,901.7704861111112,901.7704861111112,0,0.0,"('Z', 'z_destroy_mode_window', ((1, (8, 9)),), 'z_repair_bounded_detour_window', (1547, 1457), ('SORT',))",False
3,Z,1,rough,z_destroy_noise_window,z_repair_mode_toggle_contextual,False,,0,897.4017361111112,897.4017361111112,0,0.0,"('Z', 'z_destroy_noise_window', ((1, (8, 9)), (3, (10,))), 'z_repair_mode_toggle_contextual', (207, 1302, 1547, 1457), ('SORT', 'SORT'))",False
4,Z,1,rough,z_destroy_detour_window,z_repair_same_stack_window,False,,0,857.5004861111112,857.5004861111112,0,0.0,"('Z', 'z_destroy_detour_window', ((0, (5, 6)), (2, (7,))), 'z_repair_same_stack_window', (938, 1302, 1547, 941), ('SORT', 'FLIP'))",False
4,Z,3,rough,z_destroy_mode_window,z_repair_mode_toggle_contextual,False,,0,918.0804861111111,918.0804861111111,0,0.0,"('Z', 'z_destroy_mode_window', ((2, (7,)), (3, (10,))), 'z_repair_mode_toggle_contextual', (938, 1302, 207), ('SORT', 'SORT'))",False
