=== Resource-Time ALNS Summary ===
scale=GUROBI-S5, seed=42
total_runtime_sec=7.421221
best_z=182.000s @ iter=21

stop_reason=validated_best_no_change_50

exact_eval_cache_hit_count=40
empty_candidate_penalized_count=2

coverage_hard_reject_count=13
kitting_span_hard_reject_count=0
x_failure_decapitation_count=1

iter | focus |          z |       best |        F_raw |        F_cal |   tier | gval | emp | cd | cache | imp | skip |         lb
  28 |    Y |    182.000 |    182.000 |      862.646 |      862.646 |   base |    N |   N |  0 |     N |   N |    N |    -   
  29 |    Z |    182.000 |    182.000 |      842.951 |      842.951 |   base |    N |   N |  0 |     N |   N |    N |    -   
  30 |    X |    206.000 |    182.000 |      842.951 |      842.948 |   base |    Y |   N |  0 |     Y |   N |    N |    -   
  31 |    Y |    182.000 |    182.000 |      875.558 |      875.558 |   base |    N |   N |  0 |     N |   N |    N |    -   
  32 |    Z |    182.000 |    182.000 |      842.951 |      842.948 |   base |    N |   N |  0 |     N |   N |    N |    -   
  33 |    X |    212.000 |    182.000 |      860.162 |      860.162 |   base |    Y |   N |  0 |     Y |   N |    N |    -   
  34 |    Y |    182.000 |    182.000 |      896.318 |      896.318 |   base |    N |   N |  0 |     N |   N |    N |    -   
  35 |    Z |    182.000 |    182.000 |      860.162 |      860.162 |   base |    N |   N |  0 |     N |   N |    N |    -   
  36 |    X |    212.000 |    182.000 |      853.694 |      853.691 |   base |    Y |   N |  0 |     Y |   N |    N |    -   
  37 |    Y |    182.000 |    182.000 |      876.564 |      876.563 |   base |    N |   N |  0 |     N |   N |    N |    -   
  38 |    Z |    182.000 |    182.000 |      853.694 |      853.691 |   base |    N |   N |  0 |     N |   N |    N |    -   
  39 |    X |    212.000 |    182.000 |      853.694 |      853.688 |   base |    Y |   N |  0 |     Y |   N |    N |    -   
  40 |    Y |    182.000 |    182.000 |      874.756 |      874.753 |   base |    N |   N |  0 |     Y |   N |    N |    -   
  41 |    Z |    182.000 |    182.000 |      853.694 |      853.688 |   base |    N |   N |  0 |     N |   N |    N |    -   
  42 |    X |    212.000 |    182.000 |      853.694 |      853.686 |   base |    Y |   N |  0 |     Y |   N |    N |    -   
  43 |    Y |    182.000 |    182.000 |      896.318 |      896.318 |   base |    N |   N |  0 |     Y |   N |    N |    -   
  44 |    Z |    182.000 |    182.000 |      853.694 |      853.686 |   base |    N |   N |  0 |     N |   N |    N |    -   
  45 |    X |    182.000 |    182.000 |      853.694 |      853.686 |   base |    N |   Y |  3 |     N |   N |    N |    -   
  46 |    Y |    182.000 |    182.000 |      876.564 |      876.564 |   base |    N |   N |  0 |     Y |   N |    N |    -   
  47 |    Z |    182.000 |    182.000 |      853.694 |      853.686 |   base |    N |   N |  0 |     N |   N |    N |    -   
  48 |    Y |    182.000 |    182.000 |      876.564 |      876.564 |   base |    N |   N |  0 |     Y |   N |    N |    -   
  49 |    Z |    182.000 |    182.000 |      853.694 |      853.686 |   base |    N |   N |  0 |     N |   N |    N |    -   
  50 |    X |    212.000 |    182.000 |      858.062 |      858.062 |   base |    Y |   N |  0 |     N |   N |    N |    -   
  51 |    Y |    182.000 |    182.000 |      876.564 |      876.559 |   base |    N |   N |  0 |     Y |   N |    N |    -   
  52 |    Z |    182.000 |    182.000 |      858.062 |      858.062 |   base |    N |   N |  0 |     N |   N |    N |    -   
  53 |    X |    212.000 |    182.000 |      853.694 |      853.685 |   base |    Y |   N |  0 |     Y |   N |    N |    -   
  54 |    Y |    182.000 |    182.000 |      876.564 |      876.559 |   base |    N |   N |  0 |     Y |   N |    N |    -   
  55 |    Z |    182.000 |    182.000 |      853.694 |      853.685 |   base |    N |   N |  0 |     N |   N |    N |    -   
  56 |    X |    212.000 |    182.000 |      853.694 |      853.684 |   base |    Y |   N |  0 |     Y |   N |    N |    -   
  57 |    Y |    182.000 |    182.000 |      895.549 |      895.549 |   base |    N |   N |  0 |     N |   N |    N |    -   
  58 |    Z |    182.000 |    182.000 |      853.694 |      853.684 |   base |    N |   N |  0 |     N |   N |    N |    -   
  59 |    X |    182.000 |    182.000 |      853.694 |      853.684 |   base |    N |   N |  0 |     N |   N |    N |    -   
  60 |    Y |    182.000 |    182.000 |      876.564 |      876.562 |   base |    N |   N |  0 |     Y |   N |    N |    -   
  61 |    Z |    182.000 |    182.000 |      853.694 |      853.684 |   base |    N |   N |  0 |     N |   N |    N |    -   
  62 |    X |    182.000 |    182.000 |      853.694 |      853.684 |   base |    N |   Y |  3 |     N |   N |    N |    -   
  63 |    Y |    182.000 |    182.000 |      876.564 |      876.563 |   base |    N |   N |  0 |     Y |   N |    N |    -   
  64 |    Z |    182.000 |    182.000 |      853.694 |      853.684 |   base |    N |   N |  0 |     N |   N |    N |    -   
  65 |    Y |    182.000 |    182.000 |      876.564 |      876.564 |   base |    N |   N |  0 |     Y |   N |    N |    -   
  66 |    Z |    182.000 |    182.000 |      853.694 |      853.684 |   base |    N |   N |  0 |     N |   N |    N |    -   
  67 |    X |    182.000 |    182.000 |      853.694 |      853.684 |   base |    N |   N |  0 |     N |   N |    N |    -   
  68 |    Y |    182.000 |    182.000 |      896.318 |      896.318 |   base |    N |   N |  0 |     N |   N |    N |    -   
  69 |    Z |    182.000 |    182.000 |      853.694 |      853.684 |   base |    N |   N |  0 |     N |   N |    N |    -   
  70 |    Y |    182.000 |    182.000 |      876.564 |      876.564 |   base |    N |   N |  0 |     Y |   N |    N |    -   
  71 |    Z |    182.000 |    182.000 |      853.694 |      853.684 |   base |    N |   N |  0 |     N |   N |    N |    -   
