=== Resource-Time ALNS Summary ===
scale=GUROBI-S5, seed=42
total_runtime_sec=7.421221
best_z=182.000s @ iter=21

stop_reason=validated_best_no_change_50

exact_eval_cache_hit_count=40
empty_candidate_penalized_count=2

coverage_hard_reject_count=13
kitting_span_hard_reject_count=0
x_failure_decapitation_count=1

iter | focus |          z |       best |        F_raw |        F_cal |   tier | gval | emp | cd | cache | imp | skip |         lb
----------------------------------------------------------------------------------------------------------------------------------------------------
   0 | init |    233.000 |    233.000 |      -      |      -      |        |    N |   N |  0 |     N |   Y |    N |    -   
   1 |    Z |    233.000 |    233.000 |      871.480 |      871.480 |   base |    N |   N |  0 |     N |   N |    N |    -   
   2 |    Z |    233.000 |    233.000 |      871.480 |      871.480 |   base |    N |   N |  0 |     N |   N |    N |    -   
   3 |    Z |    233.000 |    233.000 |      871.480 |      871.480 |   base |    N |   N |  0 |     N |   N |    N |    -   
   4 |    Z |    233.000 |    233.000 |      871.480 |      871.480 |   base |    N |   N |  0 |     N |   N |    N |    -   
   5 |    Z |    233.000 |    233.000 |      871.480 |      871.480 |   base |    N |   N |  0 |     N |   N |    N |    -   
   6 |    Z |    233.000 |    233.000 |      871.480 |      871.480 |   base |    N |   N |  0 |     N |   N |    N |    -   
   7 |    Z |    233.000 |    233.000 |      871.480 |      871.480 |   base |    N |   N |  0 |     N |   N |    N |    -   
   8 |    Z |    233.000 |    233.000 |      871.480 |      871.480 |   base |    N |   N |  0 |     N |   N |    N |    -   
   9 |    Z |    233.000 |    233.000 |      871.480 |      871.480 |   base |    N |   N |  0 |     N |   N |    N |    -   
  10 |    Z |    233.000 |    233.000 |      871.480 |      871.480 |   base |    N |   N |  0 |     N |   N |    N |    -   
  11 |    Z |    233.000 |    233.000 |      871.480 |      871.480 |   base |    N |   N |  0 |     N |   N |    N |    -   
  12 |    Z |    233.000 |    233.000 |      871.480 |      871.480 |   base |    N |   N |  0 |     N |   N |    N |    -   
  13 |    Z |    233.000 |    233.000 |      871.480 |      871.480 |   base |    N |   N |  0 |     N |   N |    N |    -   
  14 |    Z |    233.000 |    233.000 |      871.480 |      871.480 |   base |    N |   N |  0 |     N |   N |    N |    -   
  15 |    Z |    233.000 |    233.000 |      871.480 |      871.480 |   base |    N |   N |  0 |     N |   N |    N |    -   
  16 |    Z |    233.000 |    233.000 |      871.480 |      871.480 |   base |    N |   N |  0 |     N |   N |    N |    -   
  17 |    Z |    233.000 |    233.000 |      871.480 |      871.480 |   base |    N |   N |  0 |     N |   N |    N |    -   
  18 |    Z |    233.000 |    233.000 |      871.480 |      871.480 |   base |    N |   N |  0 |     N |   N |    N |    -   
  19 |    Z |    233.000 |    233.000 |      871.480 |      871.480 |   base |    N |   N |  0 |     N |   N |    N |    -   
  20 |    Z |    233.000 |    233.000 |      871.480 |      871.480 |   base |    N |   N |  0 |     N |   N |    N |    -   
  21 |    X |    182.000 |    182.000 |      856.150 |      856.150 |   base |    Y |   N |  0 |     N |   Y |    N |    -   
  22 |    Y |    242.000 |    182.000 |      861.213 |      861.213 |   base |    Y |   N |  0 |     N |   N |    N |    -   
  23 |    Z |    182.000 |    182.000 |      861.213 |      861.213 |   base |    N |   N |  0 |     N |   N |    N |    -   
  24 |    X |    242.000 |    182.000 |      861.213 |      861.212 |   base |    Y |   N |  0 |     Y |   N |    N |    -   
  25 |    Y |    206.000 |    182.000 |      842.951 |      842.962 |   base |    Y |   N |  0 |     N |   N |    N |    -   
  26 |    Z |    182.000 |    182.000 |      842.951 |      842.962 |   base |    N |   N |  0 |     N |   N |    N |    -   
  27 |    X |    206.000 |    182.000 |      842.951 |      842.951 |   base |    Y |   N |  0 |     Y |   N |    N |    -   
