=== Resource-Time ALNS Summary ===
scale=GUROBI-S8, seed=42
total_runtime_sec=26.867532
best_z=336.000s @ iter=10

stop_reason=validated_best_no_change_50

exact_eval_cache_hit_count=27
empty_candidate_penalized_count=3

coverage_hard_reject_count=24
kitting_span_hard_reject_count=0
x_failure_decapitation_count=1

iter | focus |          z |       best |        F_raw |        F_cal |   tier | gval | emp | cd | cache | imp | skip |         lb
  49 |    Y |    336.000 |    336.000 |     3081.463 |     3081.463 |   base |    N |   N |  0 |     Y |   N |    N |    -   
  50 |    Z |    336.000 |    336.000 |     3060.996 |     3060.994 |   base |    N |   N |  0 |     N |   N |    N |    -   
  51 |    Y |    336.000 |    336.000 |     3081.463 |     3081.463 |   base |    N |   N |  0 |     Y |   N |    N |    -   
  52 |    Z |    336.000 |    336.000 |     3060.996 |     3060.994 | medium |    N |   N |  0 |     N |   N |    N |    -   
  53 |    X |    336.000 |    336.000 |     3060.996 |     3060.994 | medium |    N |   Y |  3 |     N |   N |    N |    -   
  54 |    Y |    336.000 |    336.000 |     3071.622 |     3071.622 | medium |    N |   N |  0 |     Y |   N |    N |    -   
  55 |    Z |    336.000 |    336.000 |     3060.996 |     3060.994 | medium |    N |   N |  0 |     N |   N |    N |    -   
  56 |    Y |    354.000 |    336.000 |     3041.626 |     3041.626 | medium |    Y |   N |  0 |     N |   N |    N |    -   
  57 |    Z |    336.000 |    336.000 |     3041.626 |     3041.626 |   base |    N |   N |  0 |     N |   N |    N |    -   
  58 |    X |    354.000 |    336.000 |     3041.626 |     3041.622 |   base |    Y |   N |  0 |     Y |   N |    N |    -   
  59 |    Y |    336.000 |    336.000 |     3063.530 |     3063.527 |   base |    N |   N |  0 |     N |   N |    N |    -   
  60 |    Z |    336.000 |    336.000 |     3041.626 |     3041.622 |   base |    N |   N |  0 |     N |   N |    N |    -   
