iter,focus,selected_resource_layer,destroy_operator,repair_operator,fallback_repair_used,projection_mode,projection_repaired_subtask_count,effective_destroy_mu,effective_destroy_budget,destroy_tier,heavy_destroy_active,force_rotate_used,x_temp_boost_used,local_obj,Sx,Sy,Sz,F_raw,F_cal,residual_hat,residual_decay_alpha,residual_conf_alpha,duplicate_tote_count,duplicate_tote_penalty,coverage_hard_reject,unmet_sku_total,candidate_hard_reject_reason,candidate_pool_target_size,candidate_pool_generated_count,candidate_pool_unique_count,candidate_pool_attempt_count,candidate_pool_exact_count,candidate_pool_best_f_raw,candidate_pool_best_f_cal,selected_candidate_rank,joint_colocated_sort_postprocess_triggered,joint_colocated_sort_postprocess_candidate_groups,joint_colocated_sort_postprocess_submitted,joint_colocated_sort_postprocess_applied,joint_colocated_sort_postprocess_makespan_gain,joint_colocated_sort_postprocess_rejected_capacity,joint_colocated_sort_postprocess_rejected_interval_illegal,joint_colocated_sort_postprocess_rejected_noise,joint_colocated_sort_postprocess_rejected_eval_not_better,joint_colocated_sort_postprocess_rejected_validation,joint_colocated_sort_postprocess_rejected_target_conflict,empty_candidate_penalized,layer_cooldown_remaining,stagnation_increment,used_exact_eval_cache,exact_eval_cache_hit_count,consecutive_exact_cache_hit_count,adaptive_destroy_bonus,consecutive_fail_count_x,x_layer_dynamic_multiplier,x_failure_cooldown_remaining,local_accept,global_eval_triggered,validation_trigger,validated_makespan,catastrophic_rollback,z,best_z,improved,sa_temperature,sa_accept_prob,iter_runtime_sec,global_eval_time_sec,lkh_call_count
10,Y,Y,y_destroy_rank_window_release,y_repair_regret2_station,False,,0,0.1,2,base,False,False,False,3060.9963823891626,0.3864423076923077,0.2740268567639257,3.5720032840722498,3060.9963823891626,3060.9959375679887,-0.001,0.7937005259840998,0.5604395604395604,0,0.0,False,0,,3,3,1,3,1,3060.9963823891626,3060.9959375679887,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,0.0,False,7,0,0.0,0,1.0,0,True,True,f_raw_breakthrough,336.0,False,336.0,336.0,True,12.604988194492185,1.0,2.0757875999988755,1.9878588000010495,2
11,Z,Z,,,False,,0,0.1,2,base,False,False,False,3060.9963823891626,0.3864423076923077,0.2740268567639257,3.5720032840722498,3060.9963823891626,3060.9959375679887,-0.001,0.7937005259840998,0.5604395604395604,0,0.0,False,0,exact_candidate_fail,3,3,0,4,0,nan,nan,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,1.0,False,7,0,0.0,0,1.0,0,False,False,,nan,False,336.0,336.0,False,11.974738784767576,0.0,0.07086460000027728,0.0,2
12,Z,Z,,,False,,0,0.1,2,base,False,False,False,3060.9963823891626,0.3864423076923077,0.2740268567639257,3.5720032840722498,3060.9963823891626,3060.9959375679887,-0.001,0.7937005259840998,0.5604395604395604,0,0.0,False,0,exact_candidate_fail,3,3,0,6,0,nan,nan,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,1.0,False,7,0,0.0,0,1.0,0,False,False,,nan,False,336.0,336.0,False,11.376001845529196,0.0,0.02236090000042168,0.0,2
13,Z,Z,,,False,,0,0.1,2,base,False,False,False,3060.9963823891626,0.3864423076923077,0.2740268567639257,3.5720032840722498,3060.9963823891626,3060.9959375679887,-0.001,0.7937005259840998,0.5604395604395604,0,0.0,False,0,exact_candidate_fail,3,2,0,12,0,nan,nan,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,1.0,False,7,0,0.0,0,1.0,0,False,False,,nan,False,336.0,336.0,False,10.807201753252736,0.0,0.027340799999365117,0.0,2
14,Z,Z,,,False,,0,0.1,2,base,False,False,False,3060.9963823891626,0.3864423076923077,0.2740268567639257,3.5720032840722498,3060.9963823891626,3060.9959375679887,-0.001,0.7937005259840998,0.5604395604395604,0,0.0,False,0,exact_candidate_fail,3,3,0,6,0,nan,nan,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,1.0,False,7,0,0.0,0,1.0,0,False,False,,nan,False,336.0,336.0,False,10.266841665590098,0.0,0.020876700000371784,0.0,2
15,Z,Z,,,False,,0,0.1,2,base,False,False,False,3060.9963823891626,0.3864423076923077,0.2740268567639257,3.5720032840722498,3060.9963823891626,3060.9959375679887,-0.001,0.7937005259840998,0.5604395604395604,0,0.0,False,0,exact_candidate_fail,3,2,0,12,0,nan,nan,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,1.0,False,7,0,0.0,0,1.0,0,False,False,,nan,False,336.0,336.0,False,9.753499582310592,0.0,0.024505699999281205,0.0,2
16,Z,Z,,,False,,0,0.1,2,base,False,False,False,3060.9963823891626,0.3864423076923077,0.2740268567639257,3.5720032840722498,3060.9963823891626,3060.9959375679887,-0.001,0.7937005259840998,0.5604395604395604,0,0.0,False,0,exact_candidate_fail,3,3,0,8,0,nan,nan,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,1.0,False,7,0,0.0,0,1.0,0,False,False,,nan,False,336.0,336.0,False,9.265824603195062,0.0,0.019133700001475518,0.0,2
17,X,X,x_destroy_low_consolidation,x_repair_template_preserve,False,greedy_repair,1,0.1,5,base,False,False,True,3060.9963823891626,0.3864423076923077,0.2740268567639257,3.5720032840722498,3060.9963823891626,3060.995564216956,-0.004123329542370945,0.19842513149602495,1.0,0,0.0,False,0,,3,7,1,12,1,3060.9963823891626,3060.995564216956,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,0.2,True,8,1,0.0,0,1.0,0,True,True,operator_route_precheck,336.0,False,336.0,336.0,False,17.605066746070616,1.0,2.331669499999407,1.9900419000005058,3
18,Z,Z,,,False,,0,0.1,2,base,False,False,False,3060.9963823891626,0.3864423076923077,0.2740268567639257,3.5720032840722498,3060.9963823891626,3060.995564216956,-0.004123329542370945,0.19842513149602495,1.0,0,0.0,False,0,exact_candidate_fail,3,3,0,6,0,nan,nan,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,1.0,False,9,0,0.0,0,1.0,0,False,False,,nan,False,336.0,336.0,False,8.362406704383542,0.0,0.0761622999998508,0.0,3
19,Z,Z,,,False,,0,0.1,2,base,False,False,False,3060.9963823891626,0.3864423076923077,0.2740268567639257,3.5720032840722498,3060.9963823891626,3060.995564216956,-0.004123329542370945,0.19842513149602495,1.0,0,0.0,False,0,exact_candidate_fail,3,3,0,3,0,nan,nan,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,1.0,False,9,0,0.0,0,1.0,0,False,False,,nan,False,336.0,336.0,False,7.944286369164364,0.0,0.017962799998713308,0.0,3
