iter,layer,candidate_rank,candidate_stage,destroy_operator,repair_operator,fallback_used,projection_mode,projection_repaired_subtask_count,F_raw,F_cal,duplicate_tote_count,duplicate_tote_penalty,candidate_signature,selected_for_sa
1,Z,3,rough,z_destroy_multistack_window,z_repair_sort_range_shrink_first,False,,0,3118.7072300903124,3118.7072300903124,0,0.0,"('Z', 'z_destroy_multistack_window', ((1, (9, 10)),), 'z_repair_sort_range_shrink_first', (3521, 487), ('SORT',))",False
1,Z,2,rough,z_destroy_mode_window,z_repair_sort_range_shrink_first,False,,0,3118.7072300903124,3118.7072300903124,0,0.0,"('Z', 'z_destroy_mode_window', ((1, (9, 10)),), 'z_repair_sort_range_shrink_first', (3521, 487), ('SORT',))",False
1,Z,1,rough,z_destroy_mode_window,z_repair_same_stack_window,False,,0,3118.7072300903124,3118.7072300903124,0,0.0,"('Z', 'z_destroy_mode_window', ((1, (9, 10)),), 'z_repair_same_stack_window', (3521, 487), ('SORT',))",False
2,Z,1,rough,z_destroy_multistack_window,z_repair_bounded_detour_window,False,,0,3095.307230090312,3095.307230090312,0,0.0,"('Z', 'z_destroy_multistack_window', ((3, (4, 5)),), 'z_repair_bounded_detour_window', (2968, 2881), ('FLIP',))",False
2,Z,2,rough,z_destroy_detour_window,z_repair_bounded_detour_window,False,,0,3112.857230090312,3112.857230090312,0,0.0,"('Z', 'z_destroy_detour_window', ((0, (8,)), (1, (9, 10))), 'z_repair_bounded_detour_window', (1948, 2344, 3521, 487), ('SORT', 'SORT'))",False
2,Z,3,rough,z_destroy_mode_window,z_repair_bounded_detour_window,False,,0,3118.7072300903124,3118.7072300903124,0,0.0,"('Z', 'z_destroy_mode_window', ((1, (9, 10)),), 'z_repair_bounded_detour_window', (3521, 487), ('SORT',))",False
3,Z,3,rough,z_destroy_noise_window,z_repair_same_stack_window,False,,0,3194.757230090312,3194.757230090312,0,0.0,"('Z', 'z_destroy_noise_window', ((4, (6, 7)), (12, (14,))), 'z_repair_same_stack_window', (944, 2344, 482, 2337), ('SORT', 'SORT'))",False
3,Z,1,rough,z_destroy_multistack_window,z_repair_same_stack_window,False,,0,3095.307230090312,3095.307230090312,0,0.0,"('Z', 'z_destroy_multistack_window', ((3, (4, 5)),), 'z_repair_same_stack_window', (2968, 2881), ('FLIP',))",False
3,Z,2,rough,z_destroy_mode_window,z_repair_sort_range_shrink_first,False,,0,3112.857230090312,3112.857230090312,0,0.0,"('Z', 'z_destroy_mode_window', ((0, (8,)), (1, (9, 10))), 'z_repair_sort_range_shrink_first', (1948, 2344, 3521, 487), ('SORT', 'SORT'))",False
4,Z,1,rough,z_destroy_multistack_window,z_repair_sort_range_shrink_first,False,,0,2972.457230090312,2972.457230090312,0,0.0,"('Z', 'z_destroy_multistack_window', ((7, (0, 1, 2)),), 'z_repair_sort_range_shrink_first', (944, 2344), ('SORT',))",False
4,Z,3,rough,z_destroy_mode_window,z_repair_bounded_detour_window,False,,0,3259.107230090312,3259.107230090312,0,0.0,"('Z', 'z_destroy_mode_window', ((0, (8,)), (2, (18,))), 'z_repair_bounded_detour_window', (1948, 2344, 3477), ('SORT', 'SORT'))",False
