=== Resource-Time ALNS Summary ===
scale=GUROBI-S6, seed=42
total_runtime_sec=5.949193
best_z=212.000s @ iter=0

stop_reason=validated_best_no_change_50

exact_eval_cache_hit_count=22
empty_candidate_penalized_count=3

coverage_hard_reject_count=8
kitting_span_hard_reject_count=0
x_failure_decapitation_count=1

iter | focus |          z |       best |        F_raw |        F_cal |   tier | gval | emp | cd | cache | imp | skip |         lb
----------------------------------------------------------------------------------------------------------------------------------------------------
   0 | init |    212.000 |    212.000 |      -      |      -      |        |    N |   N |  0 |     N |   Y |    N |    -   
   1 |    Z |    212.000 |    212.000 |      782.132 |      782.132 |   base |    N |   N |  0 |     N |   N |    N |    -   
   2 |    Z |    212.000 |    212.000 |      782.132 |      782.132 |   base |    N |   N |  0 |     N |   N |    N |    -   
   3 |    Z |    212.000 |    212.000 |      782.132 |      782.132 |   base |    N |   N |  0 |     N |   N |    N |    -   
   4 |    Z |    212.000 |    212.000 |      782.132 |      782.132 |   base |    N |   N |  0 |     N |   N |    N |    -   
   5 |    Z |    212.000 |    212.000 |      782.132 |      782.132 |   base |    N |   N |  0 |     N |   N |    N |    -   
   6 |    Y |    212.000 |    212.000 |      805.478 |      805.478 |   base |    N |   N |  0 |     N |   N |    N |    -   
   7 |    Z |    212.000 |    212.000 |      782.132 |      782.132 |   base |    N |   N |  0 |     N |   N |    N |    -   
   8 |    Z |    212.000 |    212.000 |      782.132 |      782.132 |   base |    N |   N |  0 |     N |   N |    N |    -   
   9 |    Z |    212.000 |    212.000 |      782.132 |      782.132 |   base |    N |   N |  0 |     N |   N |    N |    -   
  10 |    Z |    212.000 |    212.000 |      782.132 |      782.132 |   base |    N |   N |  0 |     N |   N |    N |    -   
  11 |    Z |    212.000 |    212.000 |      782.132 |      782.132 |   base |    N |   N |  0 |     N |   N |    N |    -   
  12 |    Z |    212.000 |    212.000 |      782.132 |      782.132 |   base |    N |   N |  0 |     N |   N |    N |    -   
  13 |    Z |    212.000 |    212.000 |      782.132 |      782.132 |   base |    N |   N |  0 |     N |   N |    N |    -   
  14 |    X |    212.000 |    212.000 |      782.132 |      782.132 |   base |    N |   N |  0 |     Y |   N |    N |    -   
  15 |    X |    212.000 |    212.000 |      782.132 |      782.132 |   base |    Y |   N |  0 |     Y |   N |    N |    -   
  16 |    Z |    212.000 |    212.000 |      782.132 |      782.132 |   base |    N |   N |  0 |     N |   N |    N |    -   
  17 |    Z |    212.000 |    212.000 |      782.132 |      782.132 |   base |    N |   N |  0 |     N |   N |    N |    -   
  18 |    Z |    212.000 |    212.000 |      782.132 |      782.132 |   base |    N |   N |  0 |     N |   N |    N |    -   
  19 |    Z |    212.000 |    212.000 |      782.132 |      782.132 |   base |    N |   N |  0 |     N |   N |    N |    -   
  20 |    Z |    212.000 |    212.000 |      782.132 |      782.132 |   base |    N |   N |  0 |     N |   N |    N |    -   
  21 |    Z |    212.000 |    212.000 |      782.132 |      782.132 |   base |    N |   N |  0 |     N |   N |    N |    -   
  22 |    Z |    212.000 |    212.000 |      782.132 |      782.132 |   base |    N |   N |  0 |     N |   N |    N |    -   
  23 |    Z |    212.000 |    212.000 |      782.132 |      782.132 |   base |    N |   N |  0 |     N |   N |    N |    -   
  24 |    X |    212.000 |    212.000 |      782.132 |      782.132 |   base |    N |   N |  0 |     N |   N |    N |    -   
  25 |    Y |    212.000 |    212.000 |      805.478 |      805.478 |   base |    N |   N |  0 |     Y |   N |    N |    -   
  26 |    Z |    212.000 |    212.000 |      782.132 |      782.132 |   base |    N |   N |  0 |     N |   N |    N |    -   
  27 |    X |    212.000 |    212.000 |      782.132 |      782.132 |   base |    N |   Y |  3 |     N |   N |    N |    -   
  28 |    Y |    212.000 |    212.000 |      805.478 |      805.478 |   base |    N |   N |  0 |     Y |   N |    N |    -   
  29 |    Z |    212.000 |    212.000 |      782.132 |      782.132 |   base |    N |   N |  0 |     N |   N |    N |    -   
  30 |    Y |    212.000 |    212.000 |      805.478 |      805.478 |   base |    N |   N |  0 |     Y |   N |    N |    -   
  31 |    Z |    212.000 |    212.000 |      782.132 |      782.132 |   base |    N |   N |  0 |     N |   N |    N |    -   
  32 |    X |    212.000 |    212.000 |      782.132 |      782.132 |   base |    N |   Y |  3 |     N |   N |    N |    -   
  33 |    Y |    212.000 |    212.000 |      805.478 |      805.478 |   base |    N |   N |  0 |     Y |   N |    N |    -   
  34 |    Z |    212.000 |    212.000 |      782.132 |      782.132 |   base |    N |   N |  0 |     N |   N |    N |    -   
  35 |    Y |    212.000 |    212.000 |      805.478 |      805.478 |   base |    N |   N |  0 |     Y |   N |    N |    -   
  36 |    Z |    212.000 |    212.000 |      782.132 |      782.132 |   base |    N |   N |  0 |     N |   N |    N |    -   
  37 |    Y |    212.000 |    212.000 |      805.478 |      805.478 |   base |    N |   N |  0 |     Y |   N |    N |    -   
  38 |    Z |    212.000 |    212.000 |      782.132 |      782.132 |   base |    N |   N |  0 |     N |   N |    N |    -   
  39 |    Y |    212.000 |    212.000 |      805.478 |      805.478 |   base |    N |   N |  0 |     Y |   N |    N |    -   
  40 |    Z |    212.000 |    212.000 |      782.132 |      782.132 |   base |    N |   N |  0 |     N |   N |    N |    -   
  41 |    Y |    212.000 |    212.000 |      800.080 |      800.080 | medium |    N |   N |  0 |     N |   N |    N |    -   
  42 |    Z |    212.000 |    212.000 |      782.132 |      782.132 | medium |    N |   N |  0 |     N |   N |    N |    -   
  43 |    X |    212.000 |    212.000 |      782.132 |      782.132 | medium |    N |   Y |  3 |     N |   N |    N |    -   
  44 |    Y |    212.000 |    212.000 |      820.286 |      820.286 | medium |    N |   N |  0 |     N |   N |    N |    -   
  45 |    Z |    212.000 |    212.000 |      782.132 |      782.132 | medium |    N |   N |  0 |     N |   N |    N |    -   
  46 |    Y |    212.000 |    212.000 |      805.478 |      805.478 | medium |    N |   N |  0 |     Y |   N |    N |    -   
  47 |    Z |    212.000 |    212.000 |      782.132 |      782.132 | medium |    N |   N |  0 |     N |   N |    N |    -   
  48 |    X |    212.000 |    212.000 |      782.132 |      782.132 | medium |    N |   N |  0 |     N |   N |    N |    -   
  49 |    Y |    212.000 |    212.000 |      805.478 |      805.478 | medium |    N |   N |  0 |     Y |   N |    N |    -   
  50 |    Z |    212.000 |    212.000 |      782.132 |      782.132 | medium |    N |   N |  0 |     N |   N |    N |    -   
