iter,layer,candidate_rank,candidate_stage,destroy_operator,repair_operator,fallback_used,projection_mode,projection_repaired_subtask_count,F_raw,F_cal,duplicate_tote_count,duplicate_tote_penalty,candidate_signature,selected_for_sa
16,Z,1,rough,z_destroy_multistack_window,z_repair_bounded_detour_window,False,,0,780.0121974661425,780.0114037656166,0,0.0,"('Z', 'z_destroy_multistack_window', ((0, (8, 9)),), 'z_repair_bounded_detour_window', (509, 2655), ('SORT',))",False
17,Z,3,rough,z_destroy_detour_window,z_repair_bounded_detour_window,False,,0,809.6921974661425,809.6915675056175,0,0.0,"('Z', 'z_destroy_detour_window', ((0, (8, 9)), (1, (7,))), 'z_repair_bounded_detour_window', (509, 1495, 2655), ('SORT', 'SORT'))",False
17,Z,2,rough,z_destroy_noise_window,z_repair_sort_range_shrink_first,False,,0,798.5621974661425,798.5615675056175,0,0.0,"('Z', 'z_destroy_noise_window', ((2, (0, 1)),), 'z_repair_sort_range_shrink_first', (389, 1556), ('SORT',))",False
17,Z,1,rough,z_destroy_noise_window,z_repair_same_stack_window,False,,0,790.2588641328092,790.2582341722842,0,0.0,"('Z', 'z_destroy_noise_window', ((1, (7,)), (2, (0, 1))), 'z_repair_same_stack_window', (509, 1495, 389, 1556), ('SORT', 'SORT'))",False
18,Z,2,rough,z_destroy_mode_window,z_repair_bounded_detour_window,False,,0,780.0121974661425,780.0116974661426,0,0.0,"('Z', 'z_destroy_mode_window', ((0, (8, 9)),), 'z_repair_bounded_detour_window', (509, 2655), ('SORT',))",False
18,Z,3,rough,z_destroy_mode_window,z_repair_bounded_detour_window,False,,0,809.6921974661425,809.6916974661425,0,0.0,"('Z', 'z_destroy_mode_window', ((0, (8, 9)), (1, (7,))), 'z_repair_bounded_detour_window', (509, 1495, 2655), ('SORT', 'SORT'))",False
18,Z,1,rough,z_destroy_detour_window,z_repair_sort_range_shrink_first,False,,0,780.0121974661425,780.0116974661426,0,0.0,"('Z', 'z_destroy_detour_window', ((0, (8, 9)),), 'z_repair_sort_range_shrink_first', (509, 2655), ('SORT',))",False
19,Z,2,rough,z_destroy_detour_window,z_repair_mode_toggle_contextual,False,,0,798.5621974661425,798.5618006158795,0,0.0,"('Z', 'z_destroy_detour_window', ((2, (0, 1)),), 'z_repair_mode_toggle_contextual', (389, 1556), ('SORT',))",False
19,Z,1,rough,z_destroy_multistack_window,z_repair_sort_range_shrink_first,False,,0,780.0121974661425,780.0118006158796,0,0.0,"('Z', 'z_destroy_multistack_window', ((0, (8, 9)),), 'z_repair_sort_range_shrink_first', (509, 2655), ('SORT',))",False
19,Z,3,rough,z_destroy_mode_window,z_repair_sort_range_shrink_first,False,,0,809.6921974661425,809.6918006158795,0,0.0,"('Z', 'z_destroy_mode_window', ((0, (8, 9)), (1, (7,))), 'z_repair_sort_range_shrink_first', (509, 1495, 2655), ('SORT', 'SORT'))",False
20,Z,2,rough,z_destroy_detour_window,z_repair_bounded_detour_window,False,,0,798.5621974661425,798.56188248588,0,0.0,"('Z', 'z_destroy_detour_window', ((2, (0, 1)),), 'z_repair_bounded_detour_window', (389, 1556), ('SORT',))",False
20,Z,3,rough,z_destroy_detour_window,z_repair_sort_range_shrink_first,False,,0,798.5621974661425,798.56188248588,0,0.0,"('Z', 'z_destroy_detour_window', ((2, (0, 1)),), 'z_repair_sort_range_shrink_first', (389, 1556), ('SORT',))",False
20,Z,1,rough,z_destroy_detour_window,z_repair_bounded_detour_window,False,,0,780.0121974661425,780.01188248588,0,0.0,"('Z', 'z_destroy_detour_window', ((0, (8, 9)),), 'z_repair_bounded_detour_window', (509, 2655), ('SORT',))",False
21,Z,3,rough,z_destroy_mode_window,z_repair_mode_toggle_contextual,False,,0,798.5621974661425,798.5619474661424,0,0.0,"('Z', 'z_destroy_mode_window', ((2, (0, 1)),), 'z_repair_mode_toggle_contextual', (389, 1556), ('SORT',))",False
