iter,focus,selected_resource_layer,destroy_operator,repair_operator,fallback_repair_used,projection_mode,projection_repaired_subtask_count,effective_destroy_mu,effective_destroy_budget,destroy_tier,heavy_destroy_active,force_rotate_used,x_temp_boost_used,local_obj,Sx,Sy,Sz,F_raw,F_cal,residual_hat,residual_decay_alpha,residual_conf_alpha,duplicate_tote_count,duplicate_tote_penalty,coverage_hard_reject,unmet_sku_total,candidate_hard_reject_reason,candidate_pool_target_size,candidate_pool_generated_count,candidate_pool_unique_count,candidate_pool_attempt_count,candidate_pool_exact_count,candidate_pool_best_f_raw,candidate_pool_best_f_cal,selected_candidate_rank,joint_colocated_sort_postprocess_triggered,joint_colocated_sort_postprocess_candidate_groups,joint_colocated_sort_postprocess_submitted,joint_colocated_sort_postprocess_applied,joint_colocated_sort_postprocess_makespan_gain,joint_colocated_sort_postprocess_rejected_capacity,joint_colocated_sort_postprocess_rejected_interval_illegal,joint_colocated_sort_postprocess_rejected_noise,joint_colocated_sort_postprocess_rejected_eval_not_better,joint_colocated_sort_postprocess_rejected_validation,joint_colocated_sort_postprocess_rejected_target_conflict,empty_candidate_penalized,layer_cooldown_remaining,stagnation_increment,used_exact_eval_cache,exact_eval_cache_hit_count,consecutive_exact_cache_hit_count,adaptive_destroy_bonus,consecutive_fail_count_x,x_layer_dynamic_multiplier,x_failure_cooldown_remaining,local_accept,global_eval_triggered,validation_trigger,validated_makespan,catastrophic_rollback,z,best_z,improved,sa_temperature,sa_accept_prob,iter_runtime_sec,global_eval_time_sec,lkh_call_count
0,init,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212.0,212.0,True,,,,,
1,Z,Z,,,False,,0,0.1,2,base,False,False,False,782.1321974661424,0.2011904761904762,0.267011424614852,2.2211009174311926,782.1321974661424,782.1321974661424,0.0,0.0,0.0,0,0.0,False,0,exact_candidate_fail,3,3,0,3,0,nan,nan,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,1.0,False,0,0,0.0,0,1.0,0,False,False,,nan,False,212.0,212.0,False,20.0,0.0,0.04391620000023977,0.0,0
2,Z,Z,,,False,,0,0.1,2,base,False,False,False,782.1321974661424,0.2011904761904762,0.267011424614852,2.2211009174311926,782.1321974661424,782.1321974661424,0.0,0.0,0.0,0,0.0,False,0,exact_candidate_fail,3,3,0,3,0,nan,nan,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,1.0,False,0,0,0.0,0,1.0,0,False,False,,nan,False,212.0,212.0,False,19.0,0.0,0.01240009999855829,0.0,0
3,Z,Z,,,False,,0,0.1,2,base,False,False,False,782.1321974661424,0.2011904761904762,0.267011424614852,2.2211009174311926,782.1321974661424,782.1321974661424,0.0,0.0,0.0,0,0.0,False,0,exact_candidate_fail,3,3,0,3,0,nan,nan,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,1.0,False,0,0,0.0,0,1.0,0,False,False,,nan,False,212.0,212.0,False,18.05,0.0,0.014599699999962468,0.0,0
4,Z,Z,,,False,,0,0.1,2,base,False,False,False,782.1321974661424,0.2011904761904762,0.267011424614852,2.2211009174311926,782.1321974661424,782.1321974661424,0.0,0.0,0.0,0,0.0,False,0,exact_candidate_fail,3,3,0,3,0,nan,nan,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,1.0,False,0,0,0.0,0,1.0,0,False,False,,nan,False,212.0,212.0,False,17.1475,0.0,0.009860200001639896,0.0,0
5,Z,Z,,,False,,0,0.1,2,base,False,False,False,782.1321974661424,0.2011904761904762,0.267011424614852,2.2211009174311926,782.1321974661424,782.1321974661424,0.0,0.0,0.0,0,0.0,False,0,exact_candidate_fail,3,3,0,3,0,nan,nan,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,1.0,False,0,0,0.0,0,1.0,0,False,False,,nan,False,212.0,212.0,False,16.290125,0.0,0.014549899999110494,0.0,0
6,Y,Y,y_destroy_load_skew_release,y_repair_regret2_station,False,,0,0.1,2,base,False,False,False,805.4776103101792,0.30119047619047623,0.2954799203738965,2.2027522935779817,805.4776103101792,805.4776103101792,0.0,0.0,0.0,0,0.0,False,0,,3,3,1,3,1,805.4776103101792,805.4776103101792,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,1.0,False,0,0,0.0,0,1.0,0,False,False,,nan,False,212.0,212.0,False,15.475618749999999,0.22123527334796153,0.04529980000006617,0.0,0
7,Z,Z,,,False,,0,0.1,2,base,False,False,False,782.1321974661424,0.2011904761904762,0.267011424614852,2.2211009174311926,782.1321974661424,782.1321974661424,0.0,0.0,0.0,0,0.0,False,0,exact_candidate_fail,3,3,0,4,0,nan,nan,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,1.0,False,0,0,0.0,0,1.0,0,False,False,,nan,False,212.0,212.0,False,14.701837812499999,0.0,0.013560600000346312,0.0,0
8,Z,Z,,,False,,0,0.1,2,base,False,False,False,782.1321974661424,0.2011904761904762,0.267011424614852,2.2211009174311926,782.1321974661424,782.1321974661424,0.0,0.0,0.0,0,0.0,False,0,exact_candidate_fail,3,3,0,3,0,nan,nan,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,1.0,False,0,0,0.0,0,1.0,0,False,False,,nan,False,212.0,212.0,False,13.966745921874999,0.0,0.014389300000402727,0.0,0
9,Z,Z,,,False,,0,0.1,2,base,False,False,False,782.1321974661424,0.2011904761904762,0.267011424614852,2.2211009174311926,782.1321974661424,782.1321974661424,0.0,0.0,0.0,0,0.0,False,0,exact_candidate_fail,3,3,0,5,0,nan,nan,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,1.0,False,0,0,0.0,0,1.0,0,False,False,,nan,False,212.0,212.0,False,13.268408625781248,0.0,0.015385200000309851,0.0,0
10,Z,Z,,,False,,0,0.1,2,base,False,False,False,782.1321974661424,0.2011904761904762,0.267011424614852,2.2211009174311926,782.1321974661424,782.1321974661424,0.0,0.0,0.0,0,0.0,False,0,exact_candidate_fail,3,3,0,4,0,nan,nan,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,1.0,False,0,0,0.0,0,1.0,0,False,False,,nan,False,212.0,212.0,False,12.604988194492185,0.0,0.013484700000844896,0.0,0
11,Z,Z,,,False,,0,0.1,2,base,False,False,False,782.1321974661424,0.2011904761904762,0.267011424614852,2.2211009174311926,782.1321974661424,782.1321974661424,0.0,0.0,0.0,0,0.0,False,0,exact_candidate_fail,3,3,0,11,0,nan,nan,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,1.0,False,0,0,0.0,0,1.0,0,False,False,,nan,False,212.0,212.0,False,11.974738784767576,0.0,0.015521799999987707,0.0,0
12,Z,Z,,,False,,0,0.1,2,base,False,False,False,782.1321974661424,0.2011904761904762,0.267011424614852,2.2211009174311926,782.1321974661424,782.1321974661424,0.0,0.0,0.0,0,0.0,False,0,exact_candidate_fail,3,3,0,5,0,nan,nan,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,1.0,False,0,0,0.0,0,1.0,0,False,False,,nan,False,212.0,212.0,False,11.376001845529196,0.0,0.014333900000565336,0.0,0
