算例名称,BOM数目,SKU总数,tote数,工作台数,机器人数,stack数,地图大小,上界,下界,gap,model_objective,model_cmax,total_span_overrun,total_deadline_overrun,bom_arrival_window_violating_order_count,model_gap,scale,status,warm_start_enabled,runtime_sec,solver_runtime_sec,gurobi_runtime_sec,gurobi_solve_time_sec,model_best_bound,model_status_code,model_sol_count,运行时间
GUROBI-S1,1,10,30,2,2,7,2x4,90.000000,90.038000,0.000666,90.098000,90.000000,0.000000,0.000000,0,0.000666,GUROBI-S1,OPTIMAL,False,1.880813,1.577372,1.517000,1.518340,90.038000,2,10,1.880813
GUROBI-S2,2,15,50,2,2,3,2x4,164.000000,164.095000,0.000439,164.167000,164.000000,0.000000,0.000000,0,0.000439,GUROBI-S2,OPTIMAL,False,1.348983,1.055915,1.018000,1.016686,164.095000,2,10,1.348983
