case,status,error_text,target_cmax,gurobi_no_warm_cmax,gurobi_no_warm_runtime_sec,gurobi_no_warm_gap,current_tra_baseline_cmax,tra_gurobi_cmax,tra_gurobi_time_to_optimal_sec,tra_gurobi_total_runtime_sec,gap_vs_gurobi_pct,runtime_pass,quality_pass,optimal_pass,acceptance_pass,gap_vs_global,gap_vs_current_tra,total_runtime_sec,fixgurobi_eval_count,fixgurobi_total_solve_time,fixgurobi_avg_solve_time,fixgurobi_max_solve_time,fixgurobi_compile_cache_hit_count,fixgurobi_compile_cache_hit_ratio,fixgurobi_total_compile_time,fixgurobi_total_coarse_time,fixgurobi_total_refine_time,fixgurobi_total_full_time,fixgurobi_coarse_count,fixgurobi_refine_count,fixgurobi_full_count,best_iter,best_iter_fixgurobi_solve_time,best_gurobi_status,best_gurobi_gap,best_gurobi_bound,best_fixed_scope,reached_target,not_worse_than_current_tra,stop_reason,iter_count,max_iters,fixgurobi_time_limit_sec,fixgurobi_mip_gap,fixgurobi_candidate_trial_limit,fixgurobi_force_xyz_scope,fixgurobi_enable_compiled_cache,fixgurobi_enable_two_stage,fixgurobi_enable_cutoff,fixgurobi_accept_first_improvement,fixgurobi_final_validation,fixgurobi_final_validation_time_limit_sec,fixgurobi_final_validation_status,fixgurobi_final_validation_runtime_sec,fixgurobi_final_validation_gap,fixgurobi_coarse_time_limit_sec,fixgurobi_coarse_mip_gap,known_target_guidance,target_table_fastpath,target_probe_case_presets,global_target_probe_enabled,global_target_probe_accepted,global_target_probe_status,global_target_probe_cmax,global_target_probe_runtime_sec,global_target_probe_gurobi_runtime_sec
GUROBI-M1,ok,,489.0,489.0,1118.5147872001398,0.0002214214793447112,489.0,489.0,637.6448779997882,652.7174834001344,0.0,True,True,True,True,0.0,0.0,652.7174834001344,1,31.279573400039226,31.279573400039226,31.279573400039226,0,0.0,23.863177799852565,0.0,0.0,2.3100320999510586,0,0,1,1,31.279573400039226,OPTIMAL,0.0002899178021842011,489.65199999999703,XYZ,True,True,target_reached,2,5,1200.0,0.01,1,True,True,True,True,True,True,1200.0,OPTIMAL,9.372534999856725,0.0002899178021842011,8.0,0.05,True,False,False,False,False,,nan,nan,nan
GUROBI-M2,ok,,546.0,546.0,1667.088658499997,0.00030708984561652545,546.0,546.0,920.3447326000314,936.7405304999556,0.0,True,True,True,True,0.0,0.0,936.7405304999556,1,32.90533749992028,32.90533749992028,32.90533749992028,0,0.0,24.025019000051543,0.0,0.0,3.7922410999890417,0,0,1,1,32.90533749992028,OPTIMAL,0.0004710095538624083,546.5754364326327,XYZ,True,True,target_reached,2,5,1200.0,0.01,1,True,True,True,True,True,True,1200.0,OPTIMAL,10.763035799842328,0.0004710095538624083,8.0,0.05,True,False,False,False,False,,nan,nan,nan
GUROBI-M3,ok,,558.0,558.0,1994.365330599947,0.009554722513517033,558.0,558.0,977.7400561000686,994.5936322000343,0.0,True,True,True,True,0.0,0.0,994.5936322000343,1,33.0661385001149,33.0661385001149,33.0661385001149,0,0.0,23.607607800047845,0.0,0.0,4.369565199827775,0,0,1,1,33.0661385001149,OPTIMAL,0.009441420704324426,553.4795589743553,XYZ,True,True,target_reached,2,5,1200.0,0.01,1,True,True,True,True,True,True,1200.0,OPTIMAL,11.224248100072145,0.009441420704324426,8.0,0.05,True,False,False,False,False,,nan,nan,nan
GUROBI-M4,ok,,630.0,630.0,2088.4807033999823,0.009641446205032994,630.0,630.0,248.65147369983606,262.89019299997017,0.0,True,True,True,True,0.0,0.0,262.89019299997017,1,29.822030099807307,29.822030099807307,29.822030099807307,0,0.0,23.763986899983138,0.0,0.0,1.0202450999058783,0,0,1,1,29.822030099807307,OPTIMAL,0.00013636183454201507,630.5890000000002,XYZ,True,True,target_reached,2,5,1200.0,0.01,1,True,True,True,True,True,True,1200.0,OPTIMAL,8.332463100086898,0.00013636183454201507,8.0,0.05,True,False,False,False,False,,nan,nan,nan
GUROBI-M5,ok,,679.0,679.0,2098.5835400000215,0.0032377829164793024,679.0,679.0,1209.1356403001118,1225.8489173999988,0.0,True,True,True,True,0.0,0.0,1225.8489173999988,1,32.55830049980432,32.55830049980432,32.55830049980432,0,0.0,23.891159099992365,0.0,0.0,3.330151400063187,0,0,1,1,32.55830049980432,OPTIMAL,0.003312258096176204,677.5782275784767,XYZ,True,True,target_reached,2,5,1200.0,0.01,1,True,True,True,True,True,True,1200.0,OPTIMAL,10.70782299991697,0.003312258096176204,8.0,0.05,True,False,False,False,False,,nan,nan,nan
GUROBI-M6,ok,,687.0,687.0,2288.0300833999645,4.838981818201402e-05,687.0,687.0,1317.9490549000911,1332.4216534001753,0.0,True,True,True,True,0.0,0.0,1332.4216534001753,1,29.708585599903017,29.708585599903017,29.708585599903017,0,0.0,23.40806040004827,0.0,0.0,1.4310830000322312,0,0,1,1,29.708585599903017,OPTIMAL,0.0003168153604289768,687.504119106695,XYZ,True,True,target_reached,2,5,1200.0,0.01,1,True,True,True,True,True,True,1200.0,OPTIMAL,8.525670000119135,0.0003168153604289768,8.0,0.05,True,False,False,False,False,,nan,nan,nan
GUROBI-M7,ok,,708.0,708.0,2482.9722594001796,0.003626302731368742,708.0,708.0,1282.2005723000038,1304.2789504998364,0.0,True,True,True,True,0.0,0.0,1304.2789504998364,3,74.29046230018139,24.763487433393795,33.747571600135416,1,0.3333333333333333,47.95614260016009,1.4524612000677735,0.0,8.826027400325984,1,0,2,3,6.795319099910557,OPTIMAL,7.619542150142549e-05,708.6500000000002,XYZ,True,True,target_reached,4,5,1200.0,0.01,1,True,True,True,True,True,True,1200.0,OPTIMAL,15.415830899961293,0.00028194766722871174,8.0,0.05,True,False,False,False,False,,nan,nan,nan
GUROBI-M8,ok,,725.0,725.0,2527.3676312000025,0.003022314951393112,725.0,725.0,1579.052316499874,1598.7174486999866,0.0,True,True,True,True,0.0,0.0,1598.7174486999866,1,35.63001560000703,35.63001560000703,35.63001560000703,0,0.0,24.050370400073007,0.0,0.0,6.447187600191683,0,0,1,1,35.63001560000703,OPTIMAL,0.0029816382281461907,723.3786962366744,XYZ,True,True,target_reached,2,5,1200.0,0.01,1,True,True,True,True,True,True,1200.0,OPTIMAL,13.62015870003961,0.0029816382281461907,8.0,0.05,True,False,False,False,False,,nan,nan,nan
GUROBI-M9,ok,,731.0,731.0,3453.704392499989,0.005604855872654842,731.0,731.0,1821.5987050000113,1838.6910722998437,0.0,True,True,True,True,0.0,0.0,1838.6910722998437,1,33.11925069987774,33.11925069987774,33.11925069987774,0,0.0,24.413691299967468,0.0,0.0,3.7883014001417905,0,0,1,1,33.11925069987774,OPTIMAL,0.002838551535667109,729.4814349156704,XYZ,True,True,target_reached,2,5,1200.0,0.01,1,True,True,True,True,True,True,1200.0,OPTIMAL,10.665143999969587,0.002838551535667109,8.0,0.05,True,False,False,False,False,,nan,nan,nan
