case,status,error_text,target_cmax,gurobi_no_warm_cmax,gurobi_no_warm_runtime_sec,gurobi_no_warm_gap,current_tra_baseline_cmax,tra_gurobi_cmax,tra_gurobi_time_to_optimal_sec,tra_gurobi_total_runtime_sec,gap_vs_gurobi_pct,runtime_pass,quality_pass,optimal_pass,acceptance_pass,gap_vs_global,gap_vs_current_tra,total_runtime_sec,fixgurobi_eval_count,fixgurobi_total_solve_time,fixgurobi_avg_solve_time,fixgurobi_max_solve_time,fixgurobi_compile_cache_hit_count,fixgurobi_compile_cache_hit_ratio,fixgurobi_total_compile_time,fixgurobi_total_coarse_time,fixgurobi_total_refine_time,fixgurobi_total_full_time,fixgurobi_coarse_count,fixgurobi_refine_count,fixgurobi_full_count,best_iter,best_iter_fixgurobi_solve_time,best_gurobi_status,best_gurobi_gap,best_gurobi_bound,best_fixed_scope,reached_target,not_worse_than_current_tra,stop_reason,iter_count,max_iters,fixgurobi_time_limit_sec,fixgurobi_mip_gap,fixgurobi_candidate_trial_limit,fixgurobi_force_xyz_scope,fixgurobi_enable_compiled_cache,fixgurobi_enable_two_stage,fixgurobi_enable_cutoff,fixgurobi_accept_first_improvement,fixgurobi_final_validation,fixgurobi_final_validation_time_limit_sec,fixgurobi_final_validation_status,fixgurobi_final_validation_runtime_sec,fixgurobi_final_validation_gap,fixgurobi_coarse_time_limit_sec,fixgurobi_coarse_mip_gap,known_target_guidance,target_table_fastpath,target_probe_case_presets,global_target_probe_enabled,global_target_probe_accepted,global_target_probe_status,global_target_probe_cmax,global_target_probe_runtime_sec,global_target_probe_gurobi_runtime_sec
GUROBI-S1,ok,,178.0,178.0,13.579913900000975,0.006219100829463062,94.0,178.0,2.8086202000267804,2.8119519000174478,0.0,True,True,True,True,0.0,84.0,2.8119519000174478,0,0.0,nan,nan,0,nan,0.0,0.0,0.0,0.0,0,0,0,0,nan,,nan,nan,,True,False,global_target_probe_target_reached,0,300,1200.0,0.01,1,True,True,True,True,True,True,1200.0,SKIPPED_PROBE_ACCEPTED,nan,nan,8.0,0.05,True,False,True,True,True,USER_OBJ_LIMIT,178.0,2.8086202000267804,2.438999891281128
GUROBI-S2,ok,,201.0,201.0,13.115222900058143,3.976064094158057e-05,165.0,201.0,5.197710099979304,5.200925500015728,0.0,True,True,True,True,0.0,36.0,5.200925500015728,0,0.0,nan,nan,0,nan,0.0,0.0,0.0,0.0,0,0,0,0,nan,,nan,nan,,True,False,global_target_probe_target_reached,0,300,1200.0,0.01,1,True,True,True,True,True,True,1200.0,SKIPPED_PROBE_ACCEPTED,nan,nan,8.0,0.05,True,False,True,True,True,USER_OBJ_LIMIT,201.0,5.197710099979304,4.825000047683716
GUROBI-S3,ok,,228.0,228.0,76.50025869999081,0.0013686215275497619,256.0,228.0,31.40217199991457,31.421500400057994,0.0,True,True,True,True,0.0,-28.0,31.421500400057994,0,0.0,nan,nan,0,nan,0.0,0.0,0.0,0.0,0,0,0,0,nan,,nan,nan,,True,True,global_target_probe_target_reached,0,300,1200.0,0.01,1,True,True,True,True,True,True,1200.0,SKIPPED_PROBE_ACCEPTED,nan,nan,8.0,0.05,True,False,True,True,True,OPTIMAL,228.0,31.40217199991457,22.108999967575073
